claim_id,dealer_id,vin,fleet_id,technician_id,filed_date,repair_date,claim_year,claim_month,claim_quarter,mileage_at_repair,vehicle_model,model_year,claim_type,symptom_reported,total_parts_cost,total_labor_hours,total_labor_cost,total_claim_amount,num_line_items,technician_narrative,status,risk_score,is_anomaly,anomaly_tier,anomaly_flags,days_to_warranty_end,prior_claims_on_vin,campaign_id,pre_authorized,submission_channel
WC-2023000011,DLR-020,3AKKGLDR9N1198,FLT-0031,DLR-020-TECH-05,2024-11-19,2024-11-17,2024,11,Q4,107078,Western Star 49X,2024,Policy Adjustment,Unusual noise from engine bay,2005.25,4.6,575.0,2580.25,2,Inspected and repaired Fuel Filter Housing. Diagnosed and replaced Intercooler. Verified repair and road tested.,Escalated,22,N,,,524,0,,N,PRISM Batch Upload
WC-2023000012,DLR-005,3AKLGLDR6N1052,FLT-0002,DLR-005-TECH-03,2024-11-28,2024-11-28,2024,11,Q4,385321,Freightliner Cascadia,2022,Goodwill,Battery not charging,760.23,3.7,462.5,1222.73,1,Recalibrated Fan Clutch Assembly. Verified repair and road tested.,Escalated,40,N,,,316,0,,N,PRISM Batch Upload
WC-2023000013,DLR-020,3AKLHLDR7N1186,FLT-0040,DLR-020-TECH-04,2025-08-23,2025-08-20,2025,8,Q3,188687,Freightliner Cascadia,2021,Extended Warranty,Electrical intermittent fault,1312.66,3.8,475.0,1787.66,2,Replaced Slack Adjuster. Replaced Oil Cooler. Verified repair and road tested.,Approved,40,N,,,-317,0,,N,Mobile App
WC-2023000014,DLR-020,3AKLHLDR9J1097,FLT-0020,DLR-020-TECH-04,2024-02-28,2024-02-25,2024,2,Q1,350696,Freightliner M2 112,2023,Emissions Warranty,Excessive exhaust smoke,2997.57,5.0,625.0,3622.57,2,Diagnosed and replaced Door Latch Assembly. Diagnosed and replaced EGR Cooler Assembly. Verified repair and road tested.,Under Review,12,N,,,971,0,,Y,Mobile App
WC-2023000015,DLR-011,3AKKHLDR2M1140,FLT-0039,DLR-011-TECH-02,2024-08-02,2024-07-30,2024,8,Q3,160109,Freightliner M2 106,2022,Campaign/Recall,Excessive exhaust smoke,2851.85,2.0,250.0,3101.85,1,Cleaned and reinstalled SCR Catalyst. Verified repair and road tested.,Escalated,33,N,,,33,0,CAMP-0010,N,API
WC-2023000016,DLR-003,3AKLGLDR4G1166,FLT-0016,DLR-003-TECH-08,2024-02-23,2024-02-18,2024,2,Q1,199193,Western Star 47X,2022,Campaign/Recall,Oil pressure warning,4834.79,6.0,750.0,5584.79,2,Overhauled Transmission Control Module. Overhauled DEF Dosing Unit. Verified repair and road tested.,Submitted,38,N,,,1342,0,CAMP-0004,Y,PRISM Manual Entry
WC-2023000017,DLR-006,3AKJHLDR3W1161,FLT-0029,DLR-006-TECH-08,2024-06-20,2024-06-15,2024,6,Q2,38612,Freightliner 114SD,2024,Extended Warranty,Oil pressure warning,4818.12,7.3,912.5,5730.62,2,Recalibrated Radiator Assembly. Cleaned and reinstalled Transmission Control Module. Verified repair and road tested.,Submitted,9,N,,,1038,0,,Y,PRISM Manual Entry
WC-2023000018,DLR-014,3AKKHLDR6K1021,FLT-0032,DLR-014-TECH-06,2025-10-28,2025-10-24,2025,10,Q4,234416,Western Star 49X,2024,Extended Warranty,Hard starting in cold weather,629.15,1.9,237.5,866.65,1,Resealed NOx Sensor. Verified repair and road tested.,Rejected,3,N,,,636,0,,N,API
WC-2023000019,DLR-011,3AKJGLDR6J1193,FLT-0012,DLR-011-TECH-03,2024-07-26,2024-07-19,2024,7,Q3,313229,Western Star 47X,2022,Goodwill,ABS fault light,1294.49,3.5,437.5,1731.99,2,Cleaned and reinstalled Driveshaft U-Joint. Diagnosed and replaced Starter Motor. Verified repair and road tested.,Rejected,17,N,,,1026,0,,N,Mobile App
WC-2023000020,DLR-015,3AKJGLDR3B1076,FLT-0003,DLR-015-TECH-02,2025-08-20,2025-08-14,2025,8,Q3,235298,Western Star 47X,2023,Base Warranty,Brake warning indicator,2334.28,2.2,275.0,2609.28,1,Overhauled Clutch Assembly. Verified repair and road tested.,Under Review,38,N,,,1087,0,,N,PRISM Batch Upload
WC-2023000021,DLR-015,3AKKGLDR1U1002,FLT-0009,DLR-015-TECH-03,2023-08-03,2023-07-27,2023,8,Q3,129911,Freightliner 114SD,2024,Base Warranty,Fan clutch not engaging,1240.09,2.3,287.5,1527.59,1,Inspected and repaired Brake Caliper Assembly. Verified repair and road tested.,Under Review,27,N,,,1104,0,,N,Mobile App
WC-2023000022,DLR-004,3AKJGLDR9E1059,FLT-0010,DLR-004-TECH-02,2024-04-07,2024-03-31,2024,4,Q2,395162,Freightliner Cascadia,2024,Extended Warranty,Hard starting in cold weather,4524.07,6.2,775.0,5299.07,2,Overhauled Turbocharger Assembly. Overhauled Starter Motor. Verified repair and road tested.,Under Review,63,Y,tier3_one_off,single_photo_reuse,1837,0,,Y,API
WC-2023000023,DLR-015,3AKJGLDR8J1118,FLT-0015,DLR-015-TECH-01,2025-03-21,2025-03-17,2025,3,Q1,323460,Freightliner M2 112,2023,Base Warranty,Electrical intermittent fault,1222.8,4.5,562.5,1785.3,2,Replaced Door Latch Assembly. Inspected and repaired Alternator Assembly. Verified repair and road tested.,Rejected,7,N,,,1185,0,,N,PRISM Manual Entry
WC-2023000024,DLR-015,3AKLGLDR6U1040,FLT-0024,DLR-015-TECH-01,2024-09-16,2024-09-09,2024,9,Q3,10288,Freightliner M2 112,2023,Base Warranty,Check engine light on,357.43,1.4,175.0,532.43,1,Resealed Fuel Filter Housing. Verified repair and road tested.,Approved,14,N,,,594,0,,N,Mobile App
WC-2023000025,DLR-015,3AKJGLDR2N1086,FLT-0034,DLR-015-TECH-06,2023-01-22,2023-01-19,2023,1,Q1,71554,Freightliner M2 112,2024,Campaign/Recall,Transmission fault code,3416.46,4.1,512.5,3928.96,3,Cleaned and reinstalled Driveshaft U-Joint. Inspected and repaired SCR Catalyst. Replaced Fuel Filter Housing. Verified repair and road tested.,Under Review,7,N,,,2469,0,CAMP-0010,N,Mobile App
WC-2023000026,DLR-010,3AKLGLDR1U1105,FLT-0021,DLR-010-TECH-02,2025-08-18,2025-08-12,2025,8,Q3,228273,Freightliner 108SD,2023,Extended Warranty,Electrical intermittent fault,1844.35,3.2,400.0,2244.35,1,Replaced Radiator Assembly. Verified repair and road tested.,Approved,7,N,,,68,0,,N,PRISM Batch Upload
WC-2023000027,DLR-004,3AKJGLDR9E1059,FLT-0010,DLR-004-TECH-01,2024-12-04,2024-12-02,2024,12,Q4,398886,Freightliner Cascadia,2024,Campaign/Recall,Check engine light on,1225.53,4.8,600.0,1825.53,3,Recalibrated Fuel Filter Housing. Cleaned and reinstalled Battery Disconnect Switch. Cleaned and reinstalled NOx Sensor. Verified repair and road tested.,Approved,10,N,,,1596,1,CAMP-0002,N,PRISM Batch Upload
WC-2023000028,DLR-002,3AKJGLDR1W1127,FLT-0001,DLR-002-TECH-03,2024-08-08,2024-08-01,2024,8,Q3,193277,Freightliner 114SD,2024,Emissions Warranty,Check engine light on,3346.42,6.7,837.5,4183.92,3,Recalibrated Slack Adjuster. Recalibrated DPF Filter Element. Diagnosed and replaced Oil Cooler. Verified repair and road tested.,Submitted,34,N,,,1013,0,,Y,API
WC-2023000029,DLR-001,3AKLHLDR7H1089,FLT-0032,DLR-001-TECH-09,2023-08-27,2023-08-24,2023,8,Q3,44112,Western Star 49X,2024,Extended Warranty,Hard starting in cold weather,2231.63,4.9,612.5,2844.13,2,Diagnosed and replaced Intercooler. Replaced Coolant Pump. Verified repair and road tested.,Rejected,33,N,,,2166,0,,N,Mobile App
WC-2023000030,DLR-004,3AKJGLDR9E1059,FLT-0010,DLR-004-TECH-04,2024-02-24,2024-02-22,2024,2,Q1,407848,Freightliner Cascadia,2024,Campaign/Recall,Hard starting in cold weather,3539.83,3.9,487.5,4027.33,2,Inspected and repaired High Pressure Fuel Pump. Recalibrated DEF Dosing Unit. Verified repair and road tested.,Rejected,29,N,,,1880,2,CAMP-0002,Y,API
WC-2023000031,DLR-013,3AKKGLDR7D1145,FLT-0030,DLR-013-TECH-04,2023-06-09,2023-06-04,2023,6,Q2,60086,Freightliner M2 106,2023,Extended Warranty,Oil pressure warning,1009.07,5.0,625.0,1634.07,2,Replaced Battery Disconnect Switch. Diagnosed and replaced Fan Clutch Assembly. Verified repair and road tested.,Under Review,40,N,,,1827,0,,N,Mobile App
WC-2023000032,DLR-013,3AKKGLDR8E1115,FLT-0029,DLR-013-TECH-02,2024-11-17,2024-11-14,2024,11,Q4,273301,Freightliner M2 106,2023,Policy Adjustment,Transmission fault code,2734.48,3.6,450.0,3184.48,2,Resealed Battery Disconnect Switch. Diagnosed and replaced Clutch Assembly. Verified repair and road tested.,Submitted,22,N,,,645,0,,N,Mobile App
WC-2023000033,DLR-014,3AKLHLDR8V1054,FLT-0008,DLR-014-TECH-02,2025-09-06,2025-09-04,2025,9,Q3,42604,Freightliner M2 106,2023,Extended Warranty,Brake warning indicator,3360.96,3.5,437.5,3798.46,1,Inspected and repaired Transmission Control Module. Verified repair and road tested.,Rejected,19,N,,,1031,0,,Y,PRISM Manual Entry
WC-2023000034,DLR-015,3AKJGLDR8J1118,FLT-0015,DLR-015-TECH-07,2024-07-16,2024-07-09,2024,7,Q3,320568,Freightliner M2 112,2023,Goodwill,Hard starting in cold weather,816.09,1.3,162.5,978.59,1,Replaced Fuel Injector (each). Verified repair and road tested.,Rejected,34,N,,,1433,1,,N,PRISM Manual Entry
WC-2023000035,DLR-001,3AKLGLDR4R1024,FLT-0039,DLR-001-TECH-01,2025-12-28,2025-12-23,2025,12,Q4,441444,Freightliner Cascadia,2022,Base Warranty,ABS fault light,7661.08,7.1,887.5,8548.58,3,Recalibrated Alternator Assembly. Resealed Differential Assembly. Recalibrated Wiring Harness - Engine. Verified repair and road tested.,Rejected,23,N,,,-685,0,,Y,PRISM Manual Entry
WC-2023000036,DLR-010,3AKKGLDR4L1031,FLT-0002,DLR-010-TECH-08,2023-02-17,2023-02-17,2023,2,Q1,222430,Western Star 47X,2023,Extended Warranty,Vibration at highway speed,5374.48,4.1,512.5,5886.98,2,Replaced Differential Assembly. Recalibrated NOx Sensor. Verified repair and road tested.,Under Review,4,N,,,1987,0,,N,Mobile App
WC-2023000037,DLR-004,3AKLHLDR9M1038,FLT-0030,DLR-004-TECH-06,2025-12-21,2025-12-14,2025,12,Q4,317401,Western Star 49X,2023,Campaign/Recall,Coolant leak detected,1764.58,2.0,250.0,2014.58,1,Recalibrated Wiring Harness - Engine. Verified repair and road tested.,Approved,17,N,,,-127,0,CAMP-0007,N,PRISM Manual Entry
WC-2023000038,DLR-013,3AKLGLDR7L1081,FLT-0037,DLR-013-TECH-01,2024-11-13,2024-11-13,2024,11,Q4,292775,Freightliner M2 106,2023,Policy Adjustment,Overheating at idle,5028.49,2.5,312.5,5340.99,1,Resealed Differential Assembly. Verified repair and road tested.,Escalated,3,N,,,300,0,,N,API
WC-2023000039,DLR-018,3AKLGLDR1Q1133,FLT-0022,DLR-018-TECH-06,2023-03-24,2023-03-24,2023,3,Q1,426120,Western Star 47X,2022,Campaign/Recall,Hard starting in cold weather,1797.83,7.8,975.0,2772.83,3,Diagnosed and replaced Air Compressor. Resealed NOx Sensor. Resealed Fuel Filter Housing. Verified repair and road tested.,Under Review,22,N,,,504,0,CAMP-0013,N,Mobile App
WC-2023000040,DLR-016,3AKLHLDR7K1027,FLT-0023,DLR-016-TECH-03,2025-03-07,2025-03-01,2025,3,Q1,113747,Western Star 49X,2023,Campaign/Recall,Vibration at highway speed,4243.23,5.3,662.5,4905.73,3,Overhauled Cab Air Spring. Inspected and repaired DPF Filter Element. Recalibrated Wiring Harness - Engine. Verified repair and road tested.,Submitted,13,N,,,498,0,CAMP-0007,Y,PRISM Batch Upload
WC-2023000041,DLR-016,3AKJHLDR1E1037,FLT-0019,DLR-016-TECH-01,2024-06-05,2024-05-30,2024,6,Q2,40208,Freightliner 114SD,2024,Policy Adjustment,Oil pressure warning,841.3,4.5,562.5,1403.8,1,Replaced Fan Clutch Assembly. Verified repair and road tested.,Submitted,66,Y,tier2_rogue_tech,tech_labor_inflation|repeat_repair_same_vin,1142,0,,N,Mobile App
WC-2023000042,DLR-019,3AKJHLDR8O1112,FLT-0035,DLR-019-TECH-06,2025-03-19,2025-03-12,2025,3,Q1,69033,Freightliner Cascadia,2024,Extended Warranty,Overheating at idle,4701.56,8.3,1037.5,5739.06,3,Resealed Coolant Pump. Overhauled Transmission Control Module. Cleaned and reinstalled Fan Clutch Assembly. Verified repair and road tested.,Submitted,14,N,,,792,0,,Y,PRISM Batch Upload
WC-2023000043,DLR-018,3AKJHLDR4X1012,FLT-0012,DLR-018-TECH-02,2023-07-28,2023-07-28,2023,7,Q3,53242,Western Star 47X,2023,Extended Warranty,Battery not charging,2288.35,3.7,462.5,2750.85,2,Cleaned and reinstalled Wiring Harness - Engine. Diagnosed and replaced Coolant Pump. Verified repair and road tested.,Submitted,9,N,,,1274,0,,N,PRISM Manual Entry
WC-2023000044,DLR-018,3AKJHLDR7W1017,FLT-0005,DLR-018-TECH-12,2025-03-12,2025-03-08,2025,3,Q1,149402,Freightliner Cascadia,2023,Policy Adjustment,Oil pressure warning,196.95,2.8,350.0,546.95,1,Overhauled ABS Sensor. Verified repair and road tested.,Escalated,12,N,,,235,0,,N,API
WC-2023000045,DLR-002,3AKJHLDR5M1174,FLT-0001,DLR-002-TECH-14,2025-09-19,2025-09-17,2025,9,Q3,398039,Freightliner Cascadia,2021,Goodwill,Coolant leak detected,3369.3,5.1,637.5,4006.8,2,Cleaned and reinstalled Radiator Assembly. Diagnosed and replaced Wiring Harness - Engine. Verified repair and road tested.,Submitted,3,N,,,251,0,,Y,API
WC-2023000046,DLR-014,3AKKGLDR4N1001,FLT-0035,DLR-014-TECH-05,2024-11-19,2024-11-12,2024,11,Q4,368475,Freightliner 114SD,2024,Extended Warranty,ABS fault light,4304.54,5.9,737.5,5042.04,3,Inspected and repaired Cab Air Spring. Replaced DEF Dosing Unit. Cleaned and reinstalled SCR Catalyst. Verified repair and road tested.,Escalated,18,N,,,1772,0,,N,PRISM Batch Upload
WC-2023000047,DLR-008,3AKJHLDR3U1087,FLT-0023,DLR-008-TECH-06,2025-11-27,2025-11-24,2025,11,Q4,296130,Freightliner M2 106,2023,Policy Adjustment,Check engine light on,2099.06,5.1,637.5,2736.56,2,Inspected and repaired Alternator Assembly. Diagnosed and replaced Brake Caliper Assembly. Verified repair and road tested.,Under Review,35,N,,,1067,0,,N,PRISM Manual Entry
WC-2023000048,DLR-016,3AKKHLDR7F1153,FLT-0027,DLR-016-TECH-06,2023-10-01,2023-09-25,2023,10,Q4,9865,Western Star 47X,2022,Base Warranty,Overheating at idle,1670.8,7.6,950.0,2620.8,3,Recalibrated Fan Clutch Assembly. Inspected and repaired Door Latch Assembly. Overhauled NOx Sensor. Verified repair and road tested.,Escalated,18,N,,,548,0,,N,PRISM Manual Entry
WC-2023000049,DLR-011,3AKJGLDR6J1193,FLT-0012,DLR-011-TECH-04,2024-03-10,2024-03-10,2024,3,Q1,317576,Western Star 47X,2022,Emissions Warranty,ABS fault light,2530.29,1.7,212.5,2742.79,1,Diagnosed and replaced SCR Catalyst. Verified repair and road tested.,Rejected,9,N,,,1164,1,,N,API
WC-2023000050,DLR-001,3AKKHLDR5S1131,FLT-0011,DLR-001-TECH-07,2023-10-09,2023-10-06,2023,10,Q4,356718,Freightliner Cascadia,2021,Extended Warranty,Overheating at idle,1733.7,4.1,512.5,2246.2,2,Resealed Alternator Assembly. Replaced Coolant Pump. Verified repair and road tested.,Submitted,21,N,,,-191,0,,N,API
WC-2023000051,DLR-004,3AKKHLDR2J1102,FLT-0037,DLR-004-TECH-04,2025-12-09,2025-12-08,2025,12,Q4,329444,Freightliner M2 106,2022,Campaign/Recall,DEF quality warning,2593.62,5.9,737.5,3331.12,3,Resealed Fuel Filter Housing. Replaced Brake Caliper Assembly. Recalibrated Oil Cooler. Verified repair and road tested.,Escalated,30,N,,,-276,0,CAMP-0006,N,Mobile App
WC-2023000052,DLR-003,3AKLHLDR1E1039,FLT-0030,DLR-003-TECH-05,2023-07-08,2023-07-04,2023,7,Q3,44626,Western Star 47X,2022,Extended Warranty,Transmission fault code,805.77,3.1,387.5,1193.27,1,Resealed Fan Clutch Assembly. Verified repair and road tested.,Submitted,17,N,,,255,0,,N,Mobile App
WC-2023000053,DLR-007,3AKKHLDR0E1178,FLT-0034,DLR-007-TECH-05,2023-11-13,2023-11-07,2023,11,Q4,219946,Freightliner Cascadia,2022,Campaign/Recall,Overheating at idle,285.45,1.2,150.0,435.45,1,Recalibrated Thermostat Housing. Verified repair and road tested.,Approved,20,N,,,1309,0,CAMP-0002,N,Mobile App
WC-2023000054,DLR-006,3AKLHLDR3N1162,FLT-0004,DLR-006-TECH-05,2023-09-07,2023-09-03,2023,9,Q3,258667,Freightliner M2 106,2023,Extended Warranty,Check engine light on,1075.99,2.8,350.0,1425.99,1,Diagnosed and replaced Alternator Assembly. Verified repair and road tested.,Approved,24,N,,,548,0,,N,API
WC-2023000055,DLR-009,3AKJGLDR4S1020,FLT-0002,DLR-009-TECH-02,2025-02-24,2025-02-23,2025,2,Q1,331015,Western Star 49X,2024,Base Warranty,ABS fault light,3646.38,3.8,475.0,4121.38,2,Resealed Wiring Harness - Engine. Cleaned and reinstalled DPF Filter Element. Verified repair and road tested.,Rejected,10,N,,,1503,1,,Y,API
WC-2023000056,DLR-014,3AKKHLDR5R1196,FLT-0011,DLR-014-TECH-07,2024-12-02,2024-11-29,2024,12,Q4,412384,Western Star 47X,2023,Campaign/Recall,Turbo boost pressure low,2040.13,5.5,687.5,2727.63,2,Resealed ABS Sensor. Replaced DPF Filter Element. Verified repair and road tested.,Escalated,3,N,,,1395,0,CAMP-0006,N,Mobile App
WC-2023000057,DLR-002,3AKKGLDR0E1080,FLT-0005,DLR-002-TECH-11,2023-01-08,2023-01-04,2023,1,Q1,39575,Western Star 47X,2022,Campaign/Recall,Unusual noise from engine bay,3975.14,3.9,487.5,4462.64,2,Replaced Wiring Harness - Engine. Diagnosed and replaced High Pressure Fuel Pump. Verified repair and road tested.,Escalated,29,N,,,670,0,CAMP-0002,Y,PRISM Batch Upload
WC-2023000058,DLR-009,3AKJGLDR7Q1082,FLT-0016,DLR-009-TECH-04,2023-12-18,2023-12-17,2023,12,Q4,384224,Western Star 47X,2022,Emissions Warranty,Fan clutch not engaging,3165.22,2.9,362.5,3527.72,2,Cleaned and reinstalled Cab Air Spring. Overhauled SCR Catalyst. Verified repair and road tested.,Under Review,34,N,,,624,2,,Y,Mobile App
WC-2023000059,DLR-014,3AKKHLDR9W1000,FLT-0004,DLR-014-TECH-03,2024-09-21,2024-09-17,2024,9,Q3,1000,Freightliner M2 112,2024,Extended Warranty,Overheating at idle,270.14,0.6,75.0,345.14,1,Inspected and repaired Driveshaft U-Joint. Verified repair and road tested.,Escalated,3,N,,,920,0,,N,PRISM Batch Upload
WC-2023000060,DLR-003,3AKLHLDR1E1039,FLT-0030,DLR-003-TECH-02,2025-03-21,2025-03-21,2025,3,Q1,55403,Western Star 47X,2022,Base Warranty,Check engine light on,8156.54,4.7,587.5,8744.04,2,Overhauled Differential Assembly. Recalibrated Turbocharger Assembly. Verified repair and road tested.,Escalated,9,N,,,-367,1,,Y,Mobile App
WC-2023000061,DLR-014,3AKLHLDR7O1010,FLT-0032,DLR-014-TECH-03,2025-01-14,2025-01-08,2025,1,Q1,371111,Western Star 47X,2023,Extended Warranty,Overheating at idle,1861.88,2.0,250.0,2111.88,1,Replaced Wiring Harness - Engine. Verified repair and road tested.,Approved,9,N,,,395,0,,N,Mobile App
WC-2023000062,DLR-015,3AKKGLDR1E1046,FLT-0005,DLR-015-TECH-04,2025-11-20,2025-11-18,2025,11,Q4,193359,Freightliner M2 112,2024,Campaign/Recall,Fan clutch not engaging,5823.59,7.9,987.5,6811.09,3,Overhauled ECM Module. Replaced Intercooler. Inspected and repaired Door Latch Assembly. Verified repair and road tested.,Submitted,7,N,,,1360,0,CAMP-0014,Y,API
WC-2023000063,DLR-006,3AKLHLDR3N1162,FLT-0004,DLR-006-TECH-07,2025-04-16,2025-04-10,2025,4,Q2,236108,Freightliner M2 106,2023,Goodwill,Coolant leak detected,2933.64,7.7,962.5,3896.14,3,Cleaned and reinstalled Radiator Assembly. Overhauled Driveshaft U-Joint. Resealed Fan Clutch Assembly. Verified repair and road tested.,Under Review,3,N,,,-39,1,,N,PRISM Batch Upload
WC-2023000064,DLR-014,3AKLHLDR0F1051,FLT-0036,DLR-014-TECH-04,2025-11-27,2025-11-25,2025,11,Q4,4260,Freightliner 108SD,2023,Base Warranty,Unusual noise from engine bay,1613.76,5.1,637.5,2251.26,3,Recalibrated NOx Sensor. Overhauled Door Latch Assembly. Overhauled Fuel Injector (each). Verified repair and road tested.,Submitted,12,N,,,233,0,,N,PRISM Batch Upload
WC-2023000065,DLR-020,3AKLHLDR7N1186,FLT-0040,DLR-020-TECH-07,2023-09-24,2023-09-20,2023,9,Q3,218700,Freightliner Cascadia,2021,Campaign/Recall,Fuel economy degradation,1364.78,3.3,412.5,1777.28,2,Recalibrated Oil Cooler. Resealed Battery Disconnect Switch. Verified repair and road tested.,Escalated,19,N,,,382,1,CAMP-0002,N,API
WC-2023000066,DLR-007,3AKKHLDR1O1146,FLT-0034,DLR-007-TECH-10,2024-12-24,2024-12-21,2024,12,Q4,414869,Freightliner M2 112,2024,Goodwill,Transmission fault code,317.61,0.8,100.0,417.61,1,Replaced Driveshaft U-Joint. Verified repair and road tested.,Submitted,48,Y,tier1_systematic,subtle_labor_inflation|subtle_parts_inflation,647,0,,N,Mobile App
WC-2023000067,DLR-009,3AKJGLDR7Q1082,FLT-0016,DLR-009-TECH-02,2024-09-10,2024-09-07,2024,9,Q3,374342,Western Star 47X,2022,Campaign/Recall,Loss of power under load,287.95,1.4,175.0,462.95,1,Cleaned and reinstalled Thermostat Housing. Verified repair and road tested.,Submitted,23,N,,,357,3,CAMP-0002,N,PRISM Manual Entry
WC-2023000068,DLR-001,3AKLGLDR1P1029,FLT-0010,DLR-001-TECH-12,2023-09-24,2023-09-19,2023,9,Q3,41240,Freightliner M2 112,2024,Base Warranty,Electrical intermittent fault,1350.96,4.8,600.0,1950.96,2,Replaced Starter Motor. Diagnosed and replaced Fuel Filter Housing. Verified repair and road tested.,Under Review,8,N,,,2119,0,,N,PRISM Manual Entry
WC-2023000069,DLR-010,3AKLGLDR5R1006,FLT-0039,DLR-010-TECH-12,2025-04-12,2025-04-06,2025,4,Q2,343871,Freightliner Cascadia,2022,Base Warranty,Overheating at idle,3783.59,3.8,475.0,4258.59,2,Replaced Fuel Injector (each). Resealed NOx Sensor. Verified repair and road tested.,Under Review,23,N,,,852,0,,N,PRISM Manual Entry
WC-2023000070,DLR-019,3AKJHLDR8O1112,FLT-0035,DLR-019-TECH-04,2023-02-25,2023-02-18,2023,2,Q1,59758,Freightliner Cascadia,2024,Goodwill,ABS fault light,1685.57,7.3,912.5,2598.07,2,Diagnosed and replaced Fan Clutch Assembly. Recalibrated Air Compressor. Verified repair and road tested.,Submitted,26,N,,,1545,1,,N,PRISM Manual Entry
